claim_id,result_text,value,unit,denominator_or_grain,date_window,data_scope,evidence_type,source_file,source_row_or_metric,run_id,source_commit_or_version,limitation,data_stage
CART_N,历史加购未购资格用户,7856,users,7856名历史合格用户,"首次cart:[2019-10-01,2019-10-30) UTC;等待24h;结果(t0,t0+24h]",rees46_oct_user5_analysis_v1,A_observational,reports/cart_recovery_baseline.csv,"{""where"":{},""field"":""eligible_users""}",cart-baseline-02,004d5aecca7a405eb8baf28bd7c73b39848933b1,未上线;非未来仅提醒control率;资格不等于真实可触达,
CART_P,历史资格队列后续购买比例,0.03245926680244399185336048880,probability,7856名历史合格用户,"首次cart:[2019-10-01,2019-10-30) UTC;等待24h;结果(t0,t0+24h]",rees46_oct_user5_analysis_v1,A_observational,reports/cart_recovery_baseline.csv,"{""where"":{},""field"":""p_hist""}",cart-baseline-02,004d5aecca7a405eb8baf28bd7c73b39848933b1,未上线;非未来仅提醒control率;资格不等于真实可触达,
CART_MDE,中心情景目标相对MDE,0.1,relative_fraction,两组1:1;双侧alpha=.05;power=.80,规划情景;无真实试验日期,rees46_oct_user5_analysis_v1,A_conditional_design,reports/sample_size_scenarios.csv,"{""where"":{""baseline_multiplier"":""1"",""relative_mde"":""0.1""},""field"":""relative_mde""}",cart-baseline-02,004d5aecca7a405eb8baf28bd7c73b39848933b1,正态近似人数;非已招募人数或证明效果,
CART_PLAN_N,中心情景两组总样本需求,98096,users,两组1:1;双侧alpha=.05;power=.80,规划情景;无真实试验日期,rees46_oct_user5_analysis_v1,A_conditional_design,reports/sample_size_scenarios.csv,"{""where"":{""baseline_multiplier"":""1"",""relative_mde"":""0.1""},""field"":""n_total""}",cart-baseline-02,004d5aecca7a405eb8baf28bd7c73b39848933b1,正态近似人数;非已招募人数或证明效果,
COST_K,规范化券成本负担假设,0.10,relative_fraction,k=q*d/v;全部兑券买家成本;c=0,条件模型;无真实收益,rees46_oct_user5_analysis_v1,A_conditional_design,reports/coupon_economics_scenarios.csv,"{""where"":{""k"":""0.10"",""relative_lift"":""0.10""},""field"":""k""}",cart-baseline-02,004d5aecca7a405eb8baf28bd7c73b39848933b1,v/q/d未实测;需严格高于门槛才正贡献;不是ROI,
COST_THRESHOLD,给定成本假设的盈亏平衡相对提升,0.1111111111111111111111111111,relative_fraction,k=q*d/v;全部兑券买家成本;c=0,条件模型;无真实收益,rees46_oct_user5_analysis_v1,A_conditional_design,reports/coupon_economics_scenarios.csv,"{""where"":{""k"":""0.10"",""relative_lift"":""0.10""},""field"":""break_even_relative_lift""}",cart-baseline-02,004d5aecca7a405eb8baf28bd7c73b39848933b1,v/q/d未实测;需严格高于门槛才正贡献;不是ROI,
COMP_N_CHANGE,computers购买事件相对变化,-0.313253012048192771084337349397590361,relative_fraction,历史日均;Top5以全部负向金额差为分母,2019-10-25 vs 2019-10-04/11/18 UTC,rees46_oct_nov_user5_analysis_v1,A_observational,reports/computers_mix/daily_comparison.csv,"{""where"":{""utc_date"":""2019-10-25""},""field"":""event_relative_change""}",computers-mix-01,309a151e9808f7f028e2074c8b040eaea56a0c06,purchase非订单/件数;回顾性稀疏样本;不能据此调价,
COMP_AVG_CHANGE,computers单条购买平均观测金额相对变化,-0.149727008647619452200273579540244636,relative_fraction,历史日均;Top5以全部负向金额差为分母,2019-10-25 vs 2019-10-04/11/18 UTC,rees46_oct_nov_user5_analysis_v1,A_observational,reports/computers_mix/daily_comparison.csv,"{""where"":{""utc_date"":""2019-10-25""},""field"":""mean_record_relative_change""}",computers-mix-01,309a151e9808f7f028e2074c8b040eaea56a0c06,purchase非订单/件数;回顾性稀疏样本;不能据此调价,
COMP_NET,computers净金额差,-10213.7033333333333333333333333333333,observed_price_units,历史日均;Top5以全部负向金额差为分母,2019-10-25 vs 2019-10-04/11/18 UTC,rees46_oct_nov_user5_analysis_v1,A_observational,reports/computers_mix/daily_comparison.csv,"{""where"":{""utc_date"":""2019-10-25""},""field"":""amount_difference""}",computers-mix-01,309a151e9808f7f028e2074c8b040eaea56a0c06,purchase非订单/件数;回顾性稀疏样本;不能据此调价,
COMP_TOP5,固定前5对象覆盖负向金额差,0.359243712314977453185828890737830370,fraction,历史日均;Top5以全部负向金额差为分母,2019-10-25 vs 2019-10-04/11/18 UTC,rees46_oct_nov_user5_analysis_v1,A_observational,reports/computers_mix/daily_comparison.csv,"{""where"":{""utc_date"":""2019-10-25""},""field"":""top5_negative_coverage""}",computers-mix-01,309a151e9808f7f028e2074c8b040eaea56a0c06,purchase非订单/件数;回顾性稀疏样本;不能据此调价,
